sentence_id,criteria
1,seasonal allergies with significant effect on contact lens wear
2,"Patients with diabetic retinopathy, collagen, vascular, diagnosed autoimmune disease (e.g., lupus, rheumatoid arthritis, fibromylagia), immunodeficiency (e.g., HIV), connective tissue disease, or clinically significant atopic syndrome such as allergies or asthma."
3,"Has a history of relevant drug allergies, food allergies, or both (i.e., allergy to oxycodone, allergy to related drugs, or any significant food allergy that could interfere with the study)."
4,"Babies who have a skin condition, allergies, or chest deformities making ECG on the chest difficult or impossible."
5,gadolinium allergy
6,Have current or a history of asthma or severe drug allergies or pollen allergy.
7,Subjects who are using ophthalmic medication(s) other than artificial tears for treatment of any ocular pathology excluding ocular allergy.
8,Known allergy or preexisting skin disease which prohibits use of menthol
9,Patients known to have Iodide allergy or ICG allergy
10,drug allergy/hypersensitivity
11,Known hypersensitivity or allergies to sensor gel or adhesive; skin lesions that prohibit adequate sensor placement
12,Patients with known allergies to chlorhexidine gluconate or any other ingredients in the product
13,Have allergy to ropivacaine or hydromorphone
14,Known allergy to iodinated contrast
15,Known allergy or serious adverse reaction to Tolcapone
16,Known allergy to dihydropyridines or clevidipine
17,"Known allergy to soy products, beans, eggs or egg products22. Patients with defective lipid metabolism or pathologic hyperlipidemia or lipid nephrosis"
18,History of allergies to Definity®
19,History of allergy to heparin or heparin-induced thrombocytopenia
20,Patients with a known allergy to MR contrast agents
21,"Contraindication to therapy with any one of the proposed agents (e.g., history of allergy to rabbit serum in ATG)"
22,Known allergy or hypersensitivity to any of the test materials or contraindication to test materials
23,Sensitivity or allergy to silver.
24,Known hypersensitivity/allergy to the investigational stent system or protocol related therapies.
25,Subjects who have a known allergy to Sumatriptan or Naprosyn.
26,Known hypersensitivity to lorcaserin
27,"Known hypersensitivity to the components of MM-310, or docetaxel"
28,"Individuals with a known hypersensitivity to Aprotinin or any other constituents of Tisseel VH S/DTM i.e. Fibrinogen (human), thrombin (human) and Calcium Chloride, Bovine and Porcine products."
